dimen,id,cr_date,name
unknown,426,3/13/2018 18:55,Demand Priority
unknown,427,3/13/2018 18:55,Storage Capacity
unknown,428,3/13/2018 18:55,Initial Storage
unknown,429,3/13/2018 18:55,Volume Elevation Curve
unknown,430,3/13/2018 18:55,Volume-Curve
unknown,431,3/13/2018 18:55,Elevation-Curve
unknown,432,3/13/2018 18:55,Maximum Hydraulic Outflow
unknown,433,3/13/2018 18:55,Net Evaporation
unknown,434,3/13/2018 18:55,Priority
unknown,435,3/13/2018 18:55,Loss to Groundwater
unknown,436,3/13/2018 18:55,Observed Volume
unknown,437,3/13/2018 18:55,Top of Conservation
unknown,438,3/13/2018 18:55,Top of Buffer
unknown,439,3/13/2018 18:55,Top of Inactive
unknown,440,3/13/2018 18:55,Buffer Coefficient
unknown,441,3/13/2018 18:55,Max. Turbine Flow
unknown,442,3/13/2018 18:55,Tailwater Elevation
unknown,443,3/13/2018 18:55,Plant Factor
unknown,444,3/13/2018 18:55,Generating Efficiency
unknown,445,3/13/2018 18:55,Hydropower Priority
unknown,446,3/13/2018 18:55,Energy Demand
unknown,447,3/13/2018 18:55,Electricity Revenue
unknown,448,3/13/2018 18:55,Priority seasonal
unknown,449,3/13/2018 18:56,Maximum Withdrawal
unknown,450,3/13/2018 18:56,Natural Recharge
unknown,451,3/13/2018 18:56,Headflow
unknown,452,3/13/2018 18:56,Evaporation
unknown,453,3/13/2018 18:56,Groundwater Inflow
unknown,454,3/13/2018 18:56,Groundwater Outflow
unknown,455,3/13/2018 18:56,Maximum Diversion
unknown,456,3/13/2018 18:56,Reach Length
unknown,457,3/13/2018 18:56,Surface Water Inflow
unknown,458,3/13/2018 18:56,Water Temperature
unknown,459,3/13/2018 18:56,Maximum Flow   Volume
unknown,460,3/13/2018 18:56,Maximum Flow   Percent of Demand
unknown,461,3/13/2018 18:56,Loss from System
unknown,462,3/13/2018 18:56,Return Flow Routing
unknown,463,3/13/2018 18:56,Gain from Groundwater
unknown,464,3/13/2018 18:56,Minimum Flow Requirement
unknown,465,3/13/2018 18:56,Streamflow Data
unknown,466,3/13/2018 18:56,DO Concentration Data
unknown,467,3/13/2018 18:56,BOD Concentration Data
unknown,468,3/13/2018 18:56,BOD Removal
unknown,469,3/13/2018 18:56,DO Removal
unknown,470,3/13/2018 18:56,Daily Capacity
unknown,471,3/13/2018 18:56,Fixed Head
unknown,472,3/13/2018 18:56,Max Turbine Flow
unknown,473,3/13/2018 18:56,Headflow_Time_Series
unknown,474,3/13/2018 18:56,Headflow_Seasonal
